S,E,I,R,Beta
42987,0,1,57012,-0.0
42987,0,1,57012,-0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42991,0,10,56999,2.3260682468423623e-06
42990,0,11,56999,4.229313370974222e-06
42988,1,10,57001,2.3262305759746905e-06
42987,2,9,57002,-0.0
42987,1,7,57005,-0.0
42987,1,7,57005,-0.0
42987,1,6,57006,-0.0
42987,0,7,57006,-0.0
42987,0,7,57006,-0.0
42987,0,6,57007,-0.0
42987,0,4,57009,-0.0
42987,0,2,57011,-0.0
42987,0,1,57012,2.3262846907204504e-05
42986,1,1,57012,-0.0
42986,1,1,57012,-0.0
42986,1,1,57012,-0.0
42986,1,0,57013,0.0
42986,1,0,57013,0.0
42986,1,0,57013,0.0
42986,1,0,57013,0.0
42986,0,1,57013,-0.0
42986,0,1,57013,2.326338807983995e-05
42985,0,2,57013,-0.0
42985,0,1,57014,-0.0
42985,0,1,57014,-0.0
42985,0,1,57014,2.3263929277655e-05
42984,1,1,57014,-0.0
42984,1,1,57014,-0.0
42984,1,1,57014,-0.0
42984,1,1,57014,-0.0
42984,0,2,57014,-0.0
42984,0,2,57014,-0.0
42984,0,2,57014,-0.0
42984,0,2,57014,-0.0
42984,0,2,57014,1.1632235250325704e-05
42983,1,2,57014,-0.0
42983,1,2,57014,-0.0
42983,1,2,57014,-0.0
42983,1,2,57014,1.1632505874415469e-05
42982,1,3,57014,-0.0
42982,0,4,57014,5.816388255548834e-06
42981,1,4,57014,5.816523580186594e-06
42980,2,4,57014,-0.0
42980,1,5,57014,4.653327128897161e-06
42979,2,5,57014,4.653435398683078e-06
42978,3,5,57014,-0.0
42978,2,4,57016,-0.0
42978,0,3,57019,7.755906122512294e-06
42977,1,3,57019,-0.0
42977,1,2,57020,-0.0
42977,1,2,57020,-0.0
42977,1,2,57020,-0.0
42977,1,1,57021,-0.0
42977,1,1,57021,-0.0
42977,1,1,57021,-0.0
42977,1,1,57021,-0.0
42977,1,0,57022,0.0
42977,1,0,57022,0.0
42977,1,0,57022,0.0
42977,1,0,57022,0.0
42977,0,1,57022,-0.0
42977,0,1,57022,2.326825976685204e-05
42976,1,1,57022,2.326880119136262e-05
42975,2,1,57022,-0.0
42975,2,1,57022,-0.0
42975,1,2,57022,-0.0
42975,0,3,57022,-0.0
42975,0,2,57023,1.1634671320535197e-05
42974,1,2,57023,-0.0
42974,1,1,57024,-0.0
42974,1,1,57024,-0.0
42974,0,2,57024,-0.0
42974,0,2,57024,-0.0
42974,0,2,57024,-0.0
42974,0,1,57025,-0.0
42974,0,1,57025,-0.0
42974,0,1,57025,-0.0
42974,0,1,57025,-0.0
42974,0,1,57025,-0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
